dates2,new_deaths,new_cases
1/24/2020,0,1
1/25/2020,0,0
1/26/2020,0,3
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,2
2/1/2020,0,1
2/2/2020,0,0
2/3/2020,0,3
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,1
2/12/2020,0,0
2/13/2020,0,1
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,2
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,1
2/28/2020,0,0
2/29/2020,1,8
3/1/2020,0,6
3/2/2020,5,22
3/3/2020,1,20
3/4/2020,4,31
3/5/2020,1,69
3/6/2020,2,43
3/7/2020,3,122
3/8/2020,4,113
3/9/2020,1,65
3/10/2020,6,198
3/11/2020,5,392
3/12/2020,10,425
3/13/2020,8,585
3/14/2020,7,699
3/15/2020,12,172
3/16/2020,27,1368
3/17/2020,35,1616
3/18/2020,59,2416
3/19/2020,74,4288
3/20/2020,99,6062
3/21/2020,99,5772
3/22/2020,110,8644
3/23/2020,189,10698
3/24/2020,239,10262
3/25/2020,324,11943
3/26/2020,408,17556
3/27/2020,520,18490
3/28/2020,633,19958
3/29/2020,586,19146
3/30/2020,692,21502
3/31/2020,1085,26037
4/1/2020,1172,25461
4/2/2020,1503,30405
4/3/2020,1392,31937
4/4/2020,1523,33152
4/5/2020,1590,27874
4/6/2020,1770,29642
4/7/2020,2571,30777
4/8/2020,2146,31694
4/9/2020,2228,34756
4/10/2020,2218,33501
4/11/2020,2119,30026
4/12/2020,1813,28553
4/13/2020,1946,25291
4/14/2020,2455,27065
4/15/2020,2609,29096
4/16/2020,2176,31298
4/17/2020,2093,32724
4/18/2020,1960,28270
4/19/2020,1931,26278
4/20/2020,2186,27387
4/21/2020,2548,25364
4/22/2020,2434,28332
4/23/2020,2469,33990
4/24/2020,2154,36291
4/25/2020,1698,32921
4/26/2020,1329,27689
4/27/2020,1466,22465
4/28/2020,2241,24535
4/29/2020,2521,27520
4/30/2020,2322,29629
5/1/2020,1891,34162
5/2/2020,1692,29195
5/3/2020,1120,25587
5/4/2020,1333,22475
5/5/2020,2318,24185
5/6/2020,2364,25256
5/7/2020,1934,27882
5/8/2020,1747,27178
5/9/2020,1488,25733
5/10/2020,893,19764
5/11/2020,1014,18878
5/12/2020,1627,22190
5/13/2020,1764,20958
5/14/2020,1783,27617
5/15/2020,1681,25300
5/16/2020,1216,25101
5/17/2020,758,19004
5/18/2020,1172,21769
5/19/2020,1552,20449
5/20/2020,1526,23807
5/21/2020,1217,25355
5/22/2020,1244,24141
5/23/2020,1109,21823
5/24/2020,622,20813
5/25/2020,548,18991
5/26/2020,662,18883
5/27/2020,1518,18282
5/28/2020,1178,22815
5/29/2020,1160,24504
5/30/2020,963,24450
5/31/2020,581,19910
6/1/2020,776,17355
6/2/2020,1068,20895
6/3/2020,1007,19958
6/4/2020,1023,21351
6/5/2020,914,25224
6/6/2020,659,22732
6/7/2020,438,17731
6/8/2020,519,17415
6/9/2020,950,18127
6/10/2020,901,20794
6/11/2020,871,22950
6/12/2020,828,25330
6/13/2020,759,25556
6/14/2020,308,19824
6/15/2020,394,19660
6/16/2020,838,23705
6/17/2020,744,25559
6/18/2020,718,27809
6/19/2020,670,31480
6/20/2020,604,32749
6/21/2020,285,26439
6/22/2020,389,30536
6/23/2020,847,35188
6/24/2020,759,34935
6/25/2020,551,39873
6/26/2020,617,45255
6/27/2020,504,42705
6/28/2020,273,39605
6/29/2020,377,40804
6/30/2020,625,45746
7/1/2020,694,51174
7/2/2020,727,54461
7/3/2020,660,53312
7/4/2020,265,45880
7/5/2020,288,49883
7/6/2020,355,44953
7/7/2020,1222,60021
7/8/2020,863,58601
7/9/2020,1003,63247
7/10/2020,824,67791
7/11/2020,690,60188
7/12/2020,459,59017
7/13/2020,367,59215
7/14/2020,926,67417
7/15/2020,968,67328
7/16/2020,943,77255
7/17/2020,930,71558
7/18/2020,868,63698
7/19/2020,447,61847
7/20/2020,514,61417
7/21/2020,1107,64534
7/22/2020,1216,70910
7/23/2020,1094,68695
7/24/2020,1132,73715
7/25/2020,899,66439
7/26/2020,472,54953
7/27/2020,1120,56414
7/28/2020,1374,65869
7/29/2020,1432,70776
7/30/2020,1209,68033
7/31/2020,1243,67092
8/1/2020,1115,58485
8/2/2020,403,47580
8/3/2020,530,45368
8/4/2020,1378,57540
8/5/2020,1376,52810
8/6/2020,1253,59692
8/7/2020,1242,58173
8/8/2020,1077,56174
8/9/2020,511,46935
8/10/2020,527,49536
8/11/2020,1064,46808
8/12/2020,1505,56203
8/13/2020,1070,51547
8/14/2020,1338,64294
8/15/2020,1034,47913
8/16/2020,571,42048
8/17/2020,446,35112
8/18/2020,1325,45063
8/19/2020,1353,46436
8/20/2020,1079,44023
8/21/2020,1105,48623
8/22/2020,982,44600
8/23/2020,450,34575
8/24/2020,442,37891
8/25/2020,1239,38174
8/26/2020,1225,44109
8/27/2020,1111,45966
8/28/2020,971,46156
8/29/2020,958,47153
8/30/2020,310,35337
8/31/2020,573,34156
9/1/2020,1067,43253
9/2/2020,1056,39670
9/3/2020,1070,36506
9/4/2020,965,50502
9/5/2020,783,44452
9/6/2020,403,31395
9/7/2020,267,24257
